1x2oddsb4,1x2oddsb4,1x2oddsb4,1x2oddafter,1x2oddafter,1x2oddafter,diffodd,diffodd,diffodd,avgoddrateb4,avgoddrateafter,diffoddrate,hilob4,hiloafter,diffhilo,result
1.552,4.79,4.05,1.434,5.64,4.34,0.118,-0.85,-0.29,0.9,0.5,2.75,4.75,0.4,-2,1
3.08,2.234,3.226,3.14,2.2,3.37,-0.06,0.034,-0.144,-0.25,-0.25,2.25,2.5,0,-0.25,1
1.76,4.386,3.49,1.776,4.28,3.64,-0.016,0.106,-0.15,0.75,0.75,2.4,2.45,0,-0.05,1
1.644,5.11,3.56,1.648,5.04,3.79,-0.004,0.07,-0.23,0.75,0.8,2.3,2.5,-0.05,-0.2,0
1.572,4.52,3.87,1.52,4.92,4.08,0.052,-0.4,-0.21,0.85,0.95,2.75,2.9,-0.1,-0.15,0
2.592,2.726,3.15,2.312,3.1,3.4,0.28,-0.374,-0.25,0,0.25,2.25,2.4,-0.25,-0.15,1
3.88,1.928,3.48,5.54,1.612,3.98,-1.66,0.316,-0.5,-0.55,-0.95,2.25,2.5,0.4,-0.25,0
2.394,2.68,3.136,2.322,2.654,3.24,0.072,0.026,-0.104,0.15,0.1,2.25,2.4,0.05,-0.15,1
2.954,2.142,3.27,2.88,2.166,3.29,0.074,-0.024,-0.02,-0.25,-0.25,2.45,2.55,0,-0.1,1
1.718,4.83,3.29,1.856,4.1,3.19,-0.138,0.73,0.1,0.75,0.5,2,2,0.25,0,1
1.898,4.02,3.28,2.18,3.64,2.924,-0.282,0.38,0.356,0.5,0.3,2.25,2,0.2,0.25,1
2.206,3.25,3.15,2.124,3.45,3.15,0.082,-0.2,0,0.15,0.25,2.25,2.25,-0.1,0,0
4.6,1.728,3.48,4.708,1.666,3.8,-0.108,0.062,-0.32,-0.65,-0.75,2.25,2.5,0.1,-0.25,1
2.272,2.692,3.17,2.106,3.134,3.226,0.166,-0.442,-0.056,0.15,0.25,-0.1,2.5,2.3,0.2,1
1.216,10.32,5.18,1.16,12.5,6.02,0.056,-2.18,-0.84,1.55,1.9,-0.35,2.5,2.75,-0.25,1
2.096,3.168,3.16,2.092,3.178,3.18,0.004,-0.01,-0.02,0.25,0.25,0,2.25,2.25,0,0
1.606,4.47,3.73,1.346,7.72,4.28,0.26,-3.25,-0.55,0.75,1.25,-0.5,2.7,2.45,0.25,1
1.43,5.64,4.2,1.444,5.64,4.22,-0.014,0,-0.02,1.25,1.15,0.1,2.75,2.85,-0.1,1
1.306,7.34,4.7,1.21,9.31,5.74,0.096,-1.97,-1.04,1.4,1.75,-0.35,2.75,3,-0.25,1
1.238,8.53,5.27,1.166,10.6,6.28,0.072,-2.07,-1.01,1.6,2,-0.4,3,3.25,-0.25,1
1.24,8.93,5.1,1.174,11.9,5.95,0.066,-2.97,-0.85,1.65,1.8,-0.15,3,2.9,0.1,1
1.262,8.91,4.73,1.152,10.5,6.92,0.11,-1.59,-2.19,1.5,2.05,-0.55,2.55,3.35,-0.8,0
1.794,3.67,3.52,1.776,3.85,3.53,0.018,-0.18,-0.01,0.65,0.6,0.05,2.5,2.5,0,0
2.97,2.254,3.038,3.28,2.274,2.76,-0.31,-0.02,0.278,-0.25,-0.25,0,2.25,1.75,0.5,1
3.48,1.838,3.58,3.72,1.75,3.76,-0.24,0.088,-0.18,-0.5,-0.65,0.15,2.75,2.8,-0.05,1
2.528,2.554,3.038,3.126,2.188,3.05,-0.598,0.366,-0.012,0,-0.25,0.25,2.25,2,0.25,1
2.046,3.184,3.216,2.098,3.19,3.166,-0.052,-0.006,0.05,0.4,0.3,0.1,2.25,2.25,0,0
1.918,3.39,3.37,2.512,2.602,3.09,-0.594,0.788,0.28,0.5,0.05,0.45,2.5,2.25,0.25,0
1.64,4.8,3.38,1.558,5.49,3.55,0.082,-0.69,-0.17,0.75,0.9,-0.15,2.25,2.25,0,0
2.124,2.888,3.39,2.086,2.87,3.61,0.038,0.018,-0.22,0.25,0.25,0,2.6,2.95,-0.35,0
2.894,2.236,3.14,2.928,2.228,3.17,-0.034,0.008,-0.03,-0.25,-0.25,0,2.25,2.25,0,1
1.812,3.59,3.55,1.382,5.86,4.67,0.43,-2.27,-1.12,0.5,1.25,-0.75,2.55,3.05,-0.5,0
1.944,3.32,3.34,1.754,4.21,3.34,0.19,-0.89,0,0.5,0.75,-0.25,2.5,2.25,0.25,1
2.922,2.202,3.186,3.194,2.062,3.26,-0.272,0.14,-0.074,-0.25,-0.3,0.05,2.25,2.25,0,1
2.584,2.432,3.15,3.012,2.216,3.094,-0.428,0.216,0.056,0,-0.25,0.25,2.5,2.3,0.2,1
2.33,2.656,3.24,2.902,2.144,3.266,-0.572,0.512,-0.026,0.2,-0.1,0.3,2.5,2.5,0,1
2.628,2.474,2.994,2.792,2.416,2.888,-0.164,0.058,0.106,0,0,0,2.25,2.05,0.2,1
2.228,2.922,3.096,2.208,2.966,3.08,0.02,-0.044,0.016,0.25,0.25,0,2.1,2.05,0.05,0
2.344,2.68,3.16,2.334,2.73,3.12,0.01,-0.05,0.04,0.2,0.05,0.15,2.25,2.25,0,0
1.932,3.62,3.098,2.036,3.43,2.99,-0.104,0.19,0.108,0.5,0.35,0.15,2.05,2,0.05,0
2.112,3.43,2.952,2.22,3.216,2.9,-0.108,0.214,0.052,0.25,0.25,0,2.1,2.05,0.05,1
2.372,2.982,2.878,2.386,3.086,2.732,-0.014,-0.104,0.146,0.25,0.25,0,2,1.75,0.25,0
1.506,5.2,4.16,1.73,4.16,3.74,-0.224,1.04,0.42,0.9,0.8,0.1,2.75,2.75,0,0
2.738,2.378,3.22,3.58,1.922,3.55,-0.842,0.456,-0.33,-0.1,-0.5,0.4,2.5,2.6,-0.1,0
1.318,7.74,4.98,1.24,10,5.78,0.078,-2.26,-0.8,1.4,1.65,-0.25,2.75,2.85,-0.1,0
2.504,2.678,3.14,2.584,2.69,3.098,-0.08,-0.012,0.042,0,0,0,2.25,2.25,0,0
1.41,6.64,4.38,1.482,5.8,4.196,-0.072,0.84,0.184,1.15,1,0.15,2.75,2.7,0.05,1
1.822,3.86,3.46,1.766,4.06,3.72,0.056,-0.2,-0.26,0.6,0.65,-0.05,2.55,2.7,-0.15,1
3.276,2.122,3.17,3.246,2.18,3.19,0.03,-0.058,-0.02,-0.25,-0.25,0,2.25,2.25,0,1
2.722,2.476,3.05,3.82,2.008,3.12,-1.098,0.468,-0.07,0,-0.4,0.4,2.25,2,0.25,1
1.81,4.05,3.43,1.508,5.84,4.02,0.302,-1.79,-0.59,0.5,0.95,-0.45,2.25,2.5,-0.25,1
4.46,1.544,4.08,4.97,1.47,4.32,-0.51,0.074,-0.24,-1,-1,0,3,3.05,-0.05,1
2.632,2.516,3.13,3.228,2.09,3.44,-0.596,0.426,-0.31,0,-0.25,0.25,2.25,2.45,-0.2,1
1.698,3.83,3.69,1.664,4.03,3.7,0.034,-0.2,-0.01,0.75,0.75,0,2.75,2.75,0,0
1.558,4.63,3.82,1.586,4.4,3.8,-0.028,0.23,0.02,1,0.9,0.1,2.5,2.5,0,1
1.402,6.04,4.2,1.486,5.1,3.93,-0.084,0.94,0.27,0.9,1,-0.1,2.5,2.5,0,1
2.214,3.096,2.99,2.21,3.17,2.912,0.004,-0.074,0.078,0.25,0.25,0,2,2,0,1
3.68,1.92,3.52,4.02,1.792,3.7,-0.34,0.128,-0.18,-0.5,-0.7,0.2,2.5,2.5,0,0
1.992,3.29,3.276,1.848,3.84,3.3,0.144,-0.55,-0.024,0.5,0.5,0,2.5,2.3,0.2,0
6.48,1.356,4.55,6.46,1.362,4.49,0.02,-0.006,0.06,-1.25,-1.25,0,3,3,0,0
5.22,1.464,4.22,5.96,1.37,4.66,-0.74,0.094,-0.44,-1.2,-1.3,0.1,3.2,3.25,-0.05,0
1.618,5.16,3.69,1.704,4.85,3.6,-0.086,0.31,0.09,0.8,0.75,0.05,2.3,2.5,-0.2,1
2.968,2.406,3.01,2.842,2.518,3.09,0.126,-0.112,-0.08,-0.25,-0.05,-0.2,2,2.25,-0.25,1
1.562,5.8,3.82,1.54,6.6,4.14,0.022,-0.8,-0.32,1,1,0,2.3,2.5,-0.2,0
2.364,3.042,3.146,2.626,2.996,3.06,-0.262,0.046,0.086,0.25,0,0.25,2.1,2,0.1,0
2.768,2.596,2.696,2.88,2.594,2.576,-0.112,0.002,0.12,0,0,0,1.75,1.75,0,0
1.846,3.61,3.37,1.852,3.76,3.25,-0.006,-0.15,0.12,0.5,0.5,0,2.5,2.3,0.2,0
1.904,3.36,3.37,1.912,3.33,3.36,-0.008,0.03,0.01,0.5,0.5,0,2.6,2.7,-0.1,1
1.922,3.42,3.3,1.898,3.63,3.22,0.024,-0.21,0.08,0.45,0.5,-0.05,2.25,2.25,0,1
2.28,2.842,3.06,2.24,2.916,3.18,0.04,-0.074,-0.12,0.25,0.25,0,2.25,2.25,0,1
2.068,3.42,3.05,1.946,3.686,3.14,0.122,-0.266,-0.09,0.5,0.5,0,2,2,0,0
2.884,2.378,3.21,3.23,2.192,3.22,-0.346,0.186,-0.01,-0.25,-0.25,0,2.5,2.3,0.2,1
5.76,1.52,4.08,5.62,1.51,4.22,0.14,0.01,-0.14,-0.9,-1,0.1,2.65,2.75,-0.1,0
2.728,2.528,3.15,2.692,2.632,3.056,0.036,-0.104,0.094,0,0,0,2.35,2.25,0.1,1
5.43,1.584,3.85,5.47,1.556,3.93,-0.04,0.028,-0.08,-0.9,-1,0.1,2.5,2.5,0,1
1.504,5.76,3.85,1.85,4.01,3.26,-0.346,1.75,0.59,0.9,0.6,0.3,2.5,2.3,0.2,0
2.126,3.33,3.24,2.134,3.4,3.22,-0.008,-0.07,0.02,0.3,0.3,0,2.25,2.25,0,1
2.198,3.04,3.16,2.71,2.504,3.03,-0.512,0.536,0.13,0.2,0,0.2,2.25,2.25,0,1
1.918,3.75,3.45,1.774,4.126,3.67,0.144,-0.376,-0.22,0.5,0.75,-0.25,2.5,2.7,-0.2,0
2.002,3.15,3.35,2.1,2.932,3.44,-0.098,0.218,-0.09,0.25,0.25,0,2.75,2.75,0,1
2.664,2.37,3.18,2.858,2.262,3.17,-0.194,0.108,0.01,0,-0.25,0.25,2.5,2.5,0,1
1.414,6.68,4.16,1.294,8.24,4.99,0.12,-1.56,-0.83,1.15,1.55,-0.4,3,3.2,-0.2,1
1.602,5.08,3.65,1.742,4.12,3.61,-0.14,0.96,0.04,1,0.75,0.25,2.95,2.75,0.2,1
3.14,2.068,3.44,3.44,1.936,3.49,-0.3,0.132,-0.05,-0.45,-0.5,0.05,3,3,0,1
3.72,1.872,3.4,3.41,2.046,3.23,0.31,-0.174,0.17,-0.5,-0.5,0,2.9,2.65,0.25,0
2.634,2.378,3.42,2.556,2.486,3.34,0.078,-0.108,0.08,0.1,0,0.1,3,2.75,0.25,1
4.24,1.738,3.55,4.16,1.768,3.49,0.08,-0.03,0.06,-0.75,-0.7,-0.05,3.15,2.85,0.3,0
2.126,3.42,3.19,2.26,3.18,3.166,-0.134,0.24,0.024,0.35,0.25,0.1,2.25,2.25,0,0
1.454,5.9,3.91,1.45,5.94,3.99,0.004,-0.04,-0.08,1,1,0,2.5,2.5,0,0
2.382,2.88,3.1,2.494,2.77,3.11,-0.112,0.11,-0.01,0.25,0,0.25,2.25,2.25,0,0
1.602,4.96,4.07,1.474,6.32,4.84,0.128,-1.36,-0.77,0.85,1.2,-0.35,3,3.2,-0.2,1
1.58,4.91,3.96,1.426,6.22,4.41,0.154,-1.31,-0.45,0.85,1.2,-0.35,2.75,2.85,-0.1,1
2.228,2.988,3.06,2.022,3.36,3.1,0.206,-0.372,-0.04,0.25,0.35,-0.1,2.25,2.25,0,0
2.926,2.21,3.16,2.806,2.326,3.098,0.12,-0.116,0.062,-0.25,-0.15,-0.1,2.25,2.15,0.1,0
2.306,2.836,3.11,3.002,2.3,2.918,-0.696,0.536,0.192,0.2,-0.15,0.35,2.2,2,0.2,1
1.78,3.7,3.53,1.564,4.96,3.71,0.216,-1.26,-0.18,0.75,1,-0.25,2.5,2.2,0.3,0
2.09,3.112,3.16,2.04,3.086,3.36,0.05,0.026,-0.2,0.25,0.45,-0.2,2.25,2.4,-0.15,1
2.098,3.042,3.29,2.48,2.676,2.992,-0.382,0.366,0.298,0.45,0.1,0.35,2.25,2.1,0.15,0
1.342,7.92,5.09,1.278,9.6,5.96,0.064,-1.68,-0.87,1.5,1.7,-0.2,3,3.25,-0.25,1
1.85,4,3.41,1.93,4,3.31,-0.08,0,0.1,0.5,0.5,0,2.5,2.25,0.25,1
1.41,5.82,4.42,1.322,6.98,4.94,0.088,-1.16,-0.52,1.25,1.4,-0.15,2.75,2.75,0,1
2.32,2.75,3.2,2.352,2.746,3.13,-0.032,0.004,0.07,0.2,0.1,0.1,2.5,2.25,0.25,1
2.06,3.42,3.04,2.16,3.14,3.076,-0.1,0.28,-0.036,0.25,0.25,0,2,2,0,1
2.436,2.724,3.02,2.554,2.668,2.942,-0.118,0.056,0.078,0,0,0,2.25,2.1,0.15,0
2.162,3.25,3.08,2.246,3.2,2.972,-0.084,0.05,0.108,0.25,0.25,0,2,2,0,1
1.436,6.1,3.9,1.432,6.46,3.89,0.004,-0.36,0.01,1.05,1.15,-0.1,2.3,2.25,0.05,0
2.152,2.876,3.35,2.24,2.864,3.24,-0.088,0.012,0.11,0.2,0.25,-0.05,2.45,2.5,-0.05,1
2.922,2.104,3.51,2.344,2.622,3.36,0.578,-0.518,0.15,-0.25,0,-0.25,2.75,2.75,0,1
3.76,1.77,3.56,4.04,1.692,3.65,-0.28,0.078,-0.09,-0.7,-0.7,0,2.75,2.75,0,1
2.6,2.546,3.24,2.862,2.408,3.22,-0.262,0.138,0.02,0.1,0,0.1,2.4,2.5,-0.1,1
1.822,4,3.22,1.878,3.956,3.1,-0.056,0.044,0.12,0.5,0.5,0,2.25,2.05,0.2,0
2.902,2.406,2.85,2.422,2.852,2.896,0.48,-0.446,-0.046,0,0,0,2,2,0,0
2.246,3.27,2.82,2.062,3.88,2.724,0.184,-0.61,0.096,0.25,0.4,-0.15,1.75,1.75,0,1
1.886,4.006,3.04,1.89,3.98,3.04,-0.004,0.026,0,0.5,0.5,0,2,2,0,1
2.804,2.478,2.864,2.85,2.474,2.818,-0.046,0.004,0.046,0,0,0,2,2,0,0
2.27,2.914,3.46,2.166,2.976,3.57,0.104,-0.062,-0.11,0.2,0.25,-0.05,2.75,2.75,0,0
1.608,4.3,3.95,1.664,4.07,3.85,-0.056,0.23,0.1,0.75,0.75,0,2.75,2.75,0,1
2.61,2.28,3.46,2.754,2.164,3.54,-0.144,0.116,-0.08,-0.05,-0.15,0.1,2.95,3.15,-0.2,0
1.176,10.84,6.4,1.134,12.56,7.1,0.042,-1.72,-0.7,1.95,2.15,-0.2,3.25,3.25,0,1
1.278,10.04,5.28,1.25,10.9,5.58,0.028,-0.86,-0.3,1.5,1.5,0,2.75,2.75,0,0
1.524,6.26,3.91,1.384,7.86,4.58,0.14,-1.6,-0.67,1,1.25,-0.25,2.35,2.5,-0.15,1
2.252,3.34,2.87,2.332,3.23,2.808,-0.08,0.11,0.062,0.25,0.25,0,1.85,1.75,0.1,1
2.292,3.144,2.988,1.954,3.65,3.24,0.338,-0.506,-0.252,0.25,0.5,-0.25,2,2,0,0
1.614,5.17,3.32,1.64,4.4,3.58,-0.026,0.77,-0.26,0.75,0.75,0,2,2.4,-0.4,1
1.57,5.49,3.39,1.518,5.58,3.57,0.052,-0.09,-0.18,0.9,0.95,-0.05,2,2.15,-0.15,1
1.738,3.93,3.48,1.782,3.81,3.44,-0.044,0.12,0.04,0.75,0.75,0,2.5,2.5,0,1
1.96,3.54,3.17,2.044,3.33,3.18,-0.084,0.21,-0.01,0.5,0.5,0,2.25,2.25,0,1
2.24,3.168,2.914,2.496,2.87,2.82,-0.256,0.298,0.094,0.25,0.1,0.15,2,2,0,0
1.536,5.26,3.72,1.562,5.14,3.68,-0.026,0.12,0.04,1,1,0,2.5,2.5,0,1
3.074,2.126,3.34,3.09,2.13,3.36,-0.016,-0.004,-0.02,-0.4,-0.25,-0.15,2.75,2.7,0.05,0
3.192,2.156,3.03,3.27,2.212,2.874,-0.078,-0.056,0.156,-0.25,-0.25,0,2.25,2.05,0.2,0
1.264,8.66,4.92,1.28,8.41,4.88,-0.016,0.25,0.04,1.5,1.5,0,2.75,2.95,-0.2,1
4.94,1.72,3.83,7.78,1.422,4.78,-2.84,0.298,-0.95,-0.85,-1.25,0.4,2.55,2.75,-0.2,0
1.554,5.66,4,1.596,5.35,4.18,-0.042,0.31,-0.18,1,1,0,2.65,2.75,-0.1,1
2.626,2.66,3.09,2.458,2.88,3.07,0.168,-0.22,0.02,0,0,0,2.25,2.25,0,0
2.382,3.06,2.948,3.06,2.63,2.682,-0.678,0.43,0.266,0.25,0,0.25,2.15,1.75,0.4,0
2.048,3.72,3.07,2.278,3.34,2.958,-0.23,0.38,0.112,0.5,0.25,0.25,2,2,0,0
2.474,2.96,2.928,2.398,3.026,3.01,0.076,-0.066,-0.082,0.05,0.25,-0.2,2,2.25,-0.25,1
3.4,2.118,3.14,2.87,2.506,3.02,0.53,-0.388,0.12,-0.25,-0.1,-0.15,2.25,2.25,0,1
2.036,3.55,3.25,1.606,5,3.92,0.43,-1.45,-0.67,0.35,0.8,-0.45,2.25,2.55,-0.3,1
3.19,2.204,3.16,3.41,2.194,3.04,-0.22,0.01,0.12,-0.25,-0.25,0,2.25,2,0.25,0
2.214,3.23,3.09,2.292,3.18,3.05,-0.078,0.05,0.04,0.25,0.25,0,2.25,2.25,0,1
3.36,2.012,3.53,3.24,2.138,3.6,0.12,-0.126,-0.07,-0.5,-0.25,-0.25,2.7,2.75,-0.05,1
2.15,3.156,3.26,2.146,3.25,3.24,0.004,-0.094,0.02,0.25,0.3,-0.05,2.25,2.25,0,1
5.06,1.656,3.57,11.14,1.254,5.12,-6.08,0.402,-1.55,-0.85,-1.45,0.6,2.25,2.25,0,0
1.292,8.74,4.9,1.46,6.1,4.26,-0.168,2.64,0.64,1.5,1.1,0.4,2.5,2.65,-0.15,1
1.572,4.7,3.76,1.532,5.1,3.84,0.04,-0.4,-0.08,0.95,1,-0.05,2.5,2.5,0,1
1.22,10.8,6.32,1.174,15.1,7.98,0.046,-4.3,-1.66,1.8,2.25,-0.45,3.3,3.55,-0.25,1
1.934,3.73,3.52,1.83,3.99,4.04,0.104,-0.26,-0.52,0.4,0.7,-0.3,2.6,3.25,-0.65,1
1.98,3.74,3.28,2.122,3.33,3.3,-0.142,0.41,-0.02,0.5,0.3,0.2,2.3,2.5,-0.2,0
1.874,3.94,3.4,1.634,5.17,3.72,0.24,-1.23,-0.32,0.5,0.75,-0.25,2.5,2.5,0,0
2.194,3.264,3.22,3.16,2.27,3.156,-0.966,0.994,0.064,0.25,-0.25,0.5,2.3,2.25,0.05,0
2.15,3.24,3.24,2.256,3.038,3.28,-0.106,0.202,-0.04,0.25,0.25,0,2.25,2.45,-0.2,1
3.48,2.018,3.46,2.718,2.53,3.41,0.762,-0.512,0.05,-0.45,-0.1,-0.35,2.7,2.5,0.2,1
3.9,1.728,3.62,4.14,1.67,3.75,-0.24,0.058,-0.13,-0.7,-0.75,0.05,2.75,2.75,0,0
2.576,2.522,3.05,2.804,2.424,2.962,-0.228,0.098,0.088,0,0,0,2.25,2,0.25,0
2.094,2.974,3.33,2.24,2.946,3.106,-0.146,0.028,0.224,0.25,0.25,0,2.5,2.25,0.25,0
1.368,6.46,4.4,1.354,6.42,4.58,0.014,0.04,-0.18,1.25,1.25,0,2.75,2.9,-0.15,0
2.008,3.5,3.4,2.372,2.972,3.12,-0.364,0.528,0.28,0.5,0.25,0.25,2.5,2.25,0.25,0
1.79,3.89,3.58,1.826,3.72,3.56,-0.036,0.17,0.02,0.6,0.65,-0.05,2.5,2.5,0,1
2.38,2.94,3.156,2.536,2.736,3.16,-0.156,0.204,-0.004,0.25,0,0.25,2.25,2.25,0,0
2.11,3.29,3.33,1.96,3.6,3.49,0.15,-0.31,-0.16,0.3,0.5,-0.2,2.35,2.5,-0.15,0
1.9,3.7,3.32,2.47,2.774,3.048,-0.57,0.926,0.272,0.5,0.1,0.4,2.35,2.25,0.1,0
1.802,4.08,3.28,2.178,3.26,2.932,-0.376,0.82,0.348,0.5,0.35,0.15,2,2,0,1
2.204,2.966,3.14,2.196,2.946,3.16,0.008,0.02,-0.02,0.25,0.25,0,2.25,2.25,0,0
2.404,2.594,3.176,2.514,2.606,3.018,-0.11,-0.012,0.158,0,0,0,2.5,2.25,0.25,0
1.832,3.93,3.13,1.862,4.016,2.996,-0.03,-0.086,0.134,0.55,0.5,0.05,2,2,0,1
2.178,3.45,2.72,1.844,4.49,2.84,0.334,-1.04,-0.12,0.25,0.5,-0.25,1.75,1.75,0,1
2.888,2.44,3.14,3.196,2.374,3.23,-0.308,0.066,-0.09,0,-0.25,0.25,2.25,2.25,0,0
3.98,1.826,3.66,4.81,1.706,4.02,-0.83,0.12,-0.36,-0.6,-0.75,0.15,2.75,2.75,0,0
2.324,3.152,2.994,2.228,3.39,3.056,0.096,-0.238,-0.062,0.25,0.25,0,2,2,0,0
2.926,2.404,3.064,2.728,2.6,3.126,0.198,-0.196,-0.062,-0.25,0,-0.25,2.2,2.25,-0.05,0
1.576,5.38,3.75,1.548,6.04,3.84,0.028,-0.66,-0.09,1,1,0,2.35,2.5,-0.15,1
2.588,2.558,3.29,2.836,2.458,3.17,-0.248,0.1,0.12,0,0,0,2.75,2.5,0.25,1
1.404,6.32,4.1,1.306,7.64,4.7,0.098,-1.32,-0.6,1.2,1.45,-0.25,2.5,2.75,-0.25,1
1.75,4.23,3.77,1.744,4.43,3.88,0.006,-0.2,-0.11,0.65,0.75,-0.1,2.75,2.75,0,0
2.758,2.402,2.868,2.95,2.382,2.752,-0.192,0.02,0.116,0,-0.15,0.15,2,1.9,0.1,1
2.842,2.4,3.206,3.17,2.136,3.36,-0.328,0.264,-0.154,-0.1,-0.25,0.15,2.5,2.5,0,0
3.39,2.196,2.766,4.18,2.076,2.542,-0.79,0.12,0.224,-0.25,-0.25,0,1.75,1.7,0.05,1
